venueId,name,rawPlace,inferredType,venueSizeHint,capacity,capacityStatus,placeSite,address,sourceItemCount
venue_aa143c1762,ぴあアリーナMM,ぴあアリーナMM,arena,very_large,,needs_web_verification,https://pia-arena-mm.jp/,〒220-0012 神奈川県横浜市西区みなとみらい３丁目２−２,1
venue_ab3f1683e8,国立代々木競技場第一体育館,国立代々木競技場第一体育館,arena,very_large,,needs_web_verification,http://www.jpnsport.go.jp/yoyogi/,〒150-0041 東京都渋谷区神南２丁目１−１,1
venue_492a9139fe,日本武道館,日本武道館,arena,very_large,,needs_web_verification,https://www.nipponbudokan.or.jp/,〒102-8321 東京都千代田区北の丸公園2番3号,1
venue_d66a87e694,横浜アリーナ,横浜アリーナ,arena,very_large,,needs_web_verification,https://www.yokohama-arena.co.jp/,〒222-0033 神奈川県横浜市港北区新横浜３丁目１０,1
venue_82c236ae68,"Istora Gelora Bung Karno Jakarta, Indonesia.","Istora Gelora Bung Karno Jakarta, Indonesia.",event_venue_unknown,unknown,,needs_web_verification,http://gelorabungkarno.co.id/,"Jl. Pintu Satu Senayan No.1, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270 インドネシア",1
venue_eecb50d939,Veats Shibuya,Veats Shibuya,event_venue_unknown,unknown,,needs_web_verification,https://veats.jp/,〒150-0042 東京都渋谷区宇田川町３３−１ グランド東京渋谷ビル,1
venue_87bdd1c24b,cube garden,cube garden,event_venue_unknown,unknown,,needs_web_verification,http://www.cube-garden.com/,〒060-0032 北海道札幌市中央区北２条東３丁目２−５ ｃｕｂｅ ｇａｒｄｅｎ,1
venue_b74e7f4be9,大宮ソニックシティ,大宮ソニックシティ,event_venue_unknown,unknown,,needs_web_verification,https://www.sonic-city.or.jp/,〒330-0854 埼玉県さいたま市大宮区桜木町１丁目７−５,1
venue_d971119038,大宮ソニックシティ,大宮ソニックシティ,event_venue_unknown,unknown,,needs_web_verification,https://www.sonic-city.or.jp/,〒330-0854 埼玉県さいたま市大宮区桜木町１丁目７−５,1
venue_db06566426,福岡　スカラエスパシオ,福岡　スカラエスパシオ,event_venue_unknown,unknown,,needs_web_verification,https://espacio.ne.jp/,〒810-0004 福岡県福岡市中央区渡辺通４丁目８−２８ F.Tビル 地下2階,1
venue_448f196c47,KINTEX HALL,KINTEX HALL,exhibition_hall,large_to_very_large,,needs_web_verification,https://www.kintex.com/,"217−60  Kintex-ro, Ilsanseo-gu, Goyang-si, Gyeonggi-do, 韓国",1
venue_665aaace30,幕張メッセ,幕張メッセ,exhibition_hall,large_to_very_large,,needs_web_verification,https://www.m-messe.co.jp/,〒261-8550 千葉県千葉市美浜区中瀬２丁目１,5
venue_74df5749fd,幕張メッセ,幕張メッセ,exhibition_hall,large_to_very_large,,needs_web_verification,https://www.m-messe.co.jp/organizers/guide/exhibitionhall/guide_exibition9-11,〒261-8550 千葉県千葉市美浜区中瀬２丁目２−１,1
venue_1ebfa25740,幕張メッセ ホール 9・10・11,幕張メッセ ホール 9・10・11,exhibition_hall,large_to_very_large,,needs_web_verification,https://www.m-messe.co.jp/,〒261-8550 千葉県千葉市美浜区中瀬２丁目１,1
venue_dcd672c215,HONDAE MUVHALL,HONDAE MUVHALL,hall,medium_to_large,,needs_web_verification,,,1
venue_d9db7adbf8,HONGDAE V-HALL,HONGDAE V-HALL,hall,medium_to_large,,needs_web_verification,http://www.vhall.co.kr/main/,"２５ Hongik-ro, Mapo-gu, Seoul, 韓国",2
venue_6b8a89833d,LINE CUBE SHIBUYA,LINE CUBE SHIBUYA,hall,medium_to_large,,needs_web_verification,https://linecubeshibuya.com/,〒150-0042 東京都渋谷区宇田川町１−１,1
venue_38f3854d8b,LINE CUBE SHIBUYA,LINE CUBE SHIBUYA,hall,medium_to_large,,needs_web_verification,https://linecubeshibuya.com/,〒150-0042 東京都渋谷区宇田川町１−１,1
venue_6a159d39cb,LINE CUBE SHIBUYA ,LINE CUBE SHIBUYA ,hall,medium_to_large,,needs_web_verification,https://linecubeshibuya.com/,〒150-0042 東京都渋谷区宇田川町１−１,1
venue_e2c08b5156,T.O.P.S BittsHALL,T.O.P.S BittsHALL,hall,medium_to_large,,needs_web_verification,https://www.oita-tops.com/bittshall,〒870-0003 大分県大分市生石５丁目３−７８３,1
venue_6cb699190a,TOKYO DOME CITY HALL,TOKYO DOME CITY HALL,hall,medium_to_large,,needs_web_verification,https://www.tokyo-dome.co.jp/tdc-hall/,〒112-0004 東京都文京区後楽１丁目３−６１ 東京ドームミーツポート1F,1
venue_4664798aa4,Tobacco Dock,Tobacco Dock,hall,medium_to_large,,needs_web_verification,,,1
venue_5cc94086da,まつもと市民芸術館,まつもと市民芸術館,hall,medium_to_large,,needs_web_verification,https://www.mpac.jp/,〒390-0815 長野県松本市深志３丁目１０−１,1
venue_74527b92d0,フェスティバルホール,フェスティバルホール,hall,medium_to_large,,needs_web_verification,http://www.festivalhall.jp/,〒530-0005 大阪府大阪市北区中之島２丁目３−１８,1
venue_0a2fd400f9,フェニーチェ堺,フェニーチェ堺,hall,medium_to_large,,needs_web_verification,https://www.fenice-sacay.jp/,〒590-0061 大阪府堺市堺区翁橋町２丁１−１,1
venue_f2477dc884,中野サンプラザ,中野サンプラザ,hall,medium_to_large,,needs_web_verification,,〒164-8512 東京都中野区中野４丁目１−１,1
venue_40ff77245b,原宿 ASTRO HALL,原宿 ASTRO HALL,hall,medium_to_large,,needs_web_verification,https://ja.wikipedia.org/wiki/%E5%8E%9F%E5%AE%BF%E3%82%A2%E3%82%B9%E3%83%88%E3%83%AD%E3%83%9B%E3%83%BC%E3%83%AB,〒150-0001 東京都渋谷区神宮前4丁目32-12 ニューウェイヴ原宿地下1階,1
venue_58ac964678,名古屋ダイアモンドホール,名古屋ダイアモンドホール,hall,medium_to_large,,needs_web_verification,http://diamond.sflag.co.jp/,〒460-0007 愛知県名古屋市中区新栄２丁目１−９ 雲竜フレックスビル西館5F,1
