rawTitle,normalizedTitle,count,exampleSetlistIds,reason
港のヨーコ・ヨコハマ・ヨコスカ,港のヨーコヨコハマヨコスカ,12,live_72_item_12|live_72_item_11|live_72_item_10|live_72_item_9|live_72_item_8,no_discography_match
Winners feat. Reol & Giga,winnersfeatgiga,3,live_22_item_9|live_15_item_2|live_15_item_1,no_discography_match
津軽海峡・冬景色,津軽海峡冬景色,3,live_72_item_8|live_72_item_7|live_72_item_6,no_discography_match
不乱不破,不乱不破,3,live_60_item_3|live_60_item_2|live_60_item_1,no_discography_match
21世紀難民,21世紀難民,2,live_15_item_2|live_15_item_1,no_discography_match
ray（そらる&夏代孝明）,rayそらる夏代孝明,2,live_4_item_2|live_4_item_1,no_discography_match
Starduster（そらる）,stardusterそらる,2,live_4_item_1|live_3_item_1,no_discography_match
アストロノーツ,アストロノーツ,2,live_69_item_1|live_5_item_2,no_discography_match
おこちゃま戦争,おこちゃま戦争,2,live_11_item_2|live_11_item_1,no_discography_match
ジェミニ（96猫&れをる）,ジェミニ96猫れをる,2,live_4_item_2|live_4_item_1,no_discography_match
ジッタードール,ジッタードール,2,live_5_item_3|live_5_item_2,no_discography_match
テトロドトキサイザ2号,テトロドトキサイザ2号,2,live_15_item_2|live_15_item_1,no_discography_match
Boy with ゼップへお集まりの皆様,boywithゼップへお集まりの皆様,1,live_62_item_1,no_discography_match
BROKEN GAMES,brokengames,1,live_53_item_1,no_discography_match
By Your Side（八王子P×伊東歌詞太郎）,byyourside八王子p伊東歌詞太郎,1,live_3_item_1,no_discography_match
Calc.Piano ver（いかさん）,calcpianoverいかさん,1,live_3_item_1,no_discography_match
cLick cRack（れをる＆kradness＆そらる＆96猫）,clickcrackれをるkradnessそらる96猫,1,live_0_item_1,no_discography_match
Cotton Candy Cloud（cleanero）,cottoncandycloudcleanero,1,live_3_item_1,no_discography_match
DESIRE -情熱-,desire情熱,1,live_14_item_5,no_discography_match
Drive into you（samfree×柿チョコ、Dancing Dolls R）,driveintoyousamfree柿チョコdancingdollsr,1,live_3_item_1,no_discography_match
FANTASTIC BABY <Giga Remix ver> Feat. Majiko.,fantasticbabygigaremixverfeatmajiko,1,live_5_item_3,no_discography_match
FLASH BACK <Kameria Remix ver>,flashbackkameriaremixver,1,live_5_item_3,no_discography_match
I'm Your Treasure Box *あなたは マリンせんちょうを たからばこからみつけた。,imyourtreasureboxあなたはマリンせんちょうをたからばこからみつけた,1,live_54_item_1,no_discography_match
