venueId,name,typeGuess,capacity,capacityKind,seatedCapacity,capacityStatus,verifiedAt,verificationSourceUrls,siteUrl,address,sourceLiveUuids
venue_big_cat,BIG CAT,live_house,,,,needs_web_verification,,,http://www.bigcat-live.com/,〒542-0086 大阪府大阪市中央区西心斎橋１丁目６−１４ BIGSTEP 4F,019e8284-6ef0-7b6b-9a0e-18c7b62839c8|019e8284-82bf-7279-90da-bbe763c75e71
venue_cube_garden,cube garden,live_house,,,,needs_web_verification,,,http://www.cube-garden.com/,〒060-0032 北海道札幌市中央区北２条東３丁目２−５ ｃｕｂｅ ｇａｒｄｅｎ,019e8284-7079-7afe-9ce9-a931cde94292
venue_drum_be_7,DRUM Be-7,live_house,,,,needs_web_verification,,,http://www.live-drum.com/,長崎県長崎市銅座町14-5,019e8284-9148-7f4e-b33a-0a731e8b057e
venue_drum_logos,DRUM LOGOS,live_house,,,,needs_web_verification,,,http://www.live-drum.com/,〒810-0073 福岡県福岡市中央区舞鶴１丁目８−２５,019e8284-7266-7fd4-94bb-b58bf6cef96b|019e8284-769c-725d-b466-ae659843b954
venue_ex_theater_roppongi,EX THEATER ROPPONGI,live_house,,,,needs_web_verification,,,http://www.ex-theater.com/,〒106-0031 東京都港区西麻布１丁目２−９,019e8284-71f9-7490-a34f-5c74c54bd7a9
venue_heavens_rock_utsunomiya_vj_2,HEAVEN'S ROCK UTSUNOMIYA VJ-2,live_house,,,,needs_web_verification,,,https://www.heavensrock.com/utsunomiya/access/,栃木県宇都宮市宮園町5-33 東武宇都宮西口ビルB1F,019e8284-9148-7f4e-b33a-0a731e8b057e
venue_hondae_muvhall,HONDAE MUVHALL,hall,,,,needs_web_verification,,,,,019e8284-7266-7fd4-94bb-b58bf6cef96b
venue_hongdae_v_hall,HONGDAE V-HALL,hall,,,,needs_web_verification,,,http://www.vhall.co.kr/main/,"２５ Hongik-ro, Mapo-gu, Seoul, 韓国",019e8284-7017-73c9-b0e6-5b6e10dc165d
venue_hynes_convention_center_in_boston,Hynes Convention Center in Boston,exhibition,,,,needs_web_verification,,,https://www.signatureboston.com/hynes,"900 Boylston St, Boston, MA 02115 アメリカ合衆国",019e8284-8df4-78ef-b518-cc18e3fd346f
venue_istora_gelora_bung_karno_jakarta_indonesia,"Istora Gelora Bung Karno Jakarta, Indonesia.",arena,,,,needs_web_verification,,,http://gelorabungkarno.co.id/,"Jl. Pintu Satu Senayan No.1, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270 インドネシア",019e8284-7ee4-7dd4-9e91-d496d0794669
venue_kintex_hall,KINTEX HALL,exhibition,,,,needs_web_verification,,,https://www.kintex.com/,"217−60  Kintex-ro, Ilsanseo-gu, Goyang-si, Gyeonggi-do, 韓国",019e8284-883e-7930-a992-5ce81682402c
venue_kt_zepp_yokohama,KT Zepp Yokohama,live_house,2146,standing,1251,verified,2026-05-17,https://www.zepp.co.jp/hall/yokohama/,https://www.zepp.co.jp/hall/yokohama/,〒220-0012 神奈川県横浜市西区みなとみらい4-3-6,019e8284-7c76-7696-a0b5-ce0f4f776156|019e8284-8a60-7ab0-b760-4ee7014359a6
venue_kyoto_fanj,KYOTO FANJ,live_house,,,,needs_web_verification,,,http://www.kyoto-fanj.com/information.html,京都府京都市下京区四条通寺町東入2丁目御旅町48,019e8284-9148-7f4e-b33a-0a731e8b057e
venue_line_cube_shibuya,LINE CUBE SHIBUYA,hall,1956,seated,,verified,2026-05-17,https://linecubeshibuya.com/facility,https://linecubeshibuya.com/,〒150-8010 東京都渋谷区宇田川町1-1,019e8284-769c-725d-b466-ae659843b954|019e8284-78f9-7151-851e-dab821f871cf|019e8284-9148-7f4e-b33a-0a731e8b057e
venue_live_roxy_shizuoka,LIVE ROXY SHIZUOKA,live_house,,,,needs_web_verification,,,https://live-roxy.com/,〒420-0851 静岡県静岡市葵区黒金町２８−１−２,019e8284-8137-72c8-a205-53a93aee8b1c
venue_mao_live_house,Mao live house,live_house,,,,needs_web_verification,,,http://mao-music.com/,"308 Chongqing Nan Lu, Beijing, 中国",019e8284-7266-7fd4-94bb-b58bf6cef96b
venue_mao_livehouse,MAO livehouse,live_house,,,,needs_web_verification,,,http://mao-music.com/,"308 Chongqing Nan Lu, Beijing, 中国",019e8284-6ef0-7b6b-9a0e-18c7b62839c8
venue_modernsky_lab,Modernsky Lab,live_house,,,,needs_web_verification,,,,"中国 Yunnan, Kunming, Xishan, 杨家路 邮政编码: 650228",019e8284-7266-7fd4-94bb-b58bf6cef96b
venue_musinsa_garage,musinsa garage,live_house,,,,needs_web_verification,,,https://www.musinsagarage.com/,"３２ Jandari-ro, Mapo-gu, Seoul, 韓国",019e8284-825f-70e6-a02e-a13ba8fa9c23
venue_nagano_club_junk_box,NAGANO CLUB JUNK BOX,live_house,,,,needs_web_verification,,,http://www.junkbox.co.jp/nagano/sp/info.html,長野県長野市南石堂町1423,019e8284-9148-7f4e-b33a-0a731e8b057e
venue_nubond_live_house,NUBOND LIVE HOUSE,live_house,,,,needs_web_verification,,,,,019e8284-825f-70e6-a02e-a13ba8fa9c23
venue_portal,PORTAL,unknown,,,,needs_web_verification,,,,,019e8284-88b1-79fe-846b-112b2ad73457
venue_reny_limited,ReNY limited,live_house,,,,needs_web_verification,,,https://ruido.org/nagoya_reny/,〒460-0008 愛知県名古屋市中区栄３丁目１５−２０ B1・B2 エンゼルビル,019e8284-7266-7fd4-94bb-b58bf6cef96b|019e8284-7468-7f47-be00-07706aa1fbb7
venue_seattle_convention_center,Seattle Convention Center,exhibition,,,,needs_web_verification,,,https://seattleconventioncenter.com/,"705 Pike St, Seattle, WA 98101 アメリカ合衆国",019e8284-8d78-79c0-9801-bcfa308eca6c
venue_spotify_o_east,Spotify O-EAST,live_house,,,,needs_web_verification,,,https://shibuya-o.com/east/?utm_source=business-profile&utm_medium=listing,〒150-0043 東京都渋谷区道玄坂２丁目１４−８,019e8284-82bf-7279-90da-bbe763c75e71
venue_t_o_p_s_bittshall,T.O.P.S BittsHALL,hall,,,,needs_web_verification,,,https://www.oita-tops.com/bittshall,〒870-0003 大分県大分市生石５丁目３−７８３,019e8284-8137-72c8-a205-53a93aee8b1c
venue_tango_live,Tango live,live_house,,,,needs_web_verification,,,,,019e8284-7266-7fd4-94bb-b58bf6cef96b
venue_tobacco_dock,Tobacco Dock,exhibition,,,,needs_web_verification,,,,,019e8284-70d8-7923-9e26-90d49fe34214
venue_tokyo_dome_city_hall,TOKYO DOME CITY HALL,hall,3190,standing,2471,verified,2026-05-17,https://www.tokyo-dome.co.jp/business/event-space/,https://www.tokyo-dome.co.jp/tdc-hall/,〒112-8575 東京都文京区後楽1-3-61,019e8284-7c76-7696-a0b5-ce0f4f776156
venue_tsutaya_o_east,TSUTAYA O-EAST,live_house,,,,needs_web_verification,,,https://shibuya-o.com/east/?utm_source=business-profile&utm_medium=listing,〒150-0043 東京都渋谷区道玄坂２丁目１４−８,019e8284-6ef0-7b6b-9a0e-18c7b62839c8
venue_veats_shibuya,Veats Shibuya,live_house,,,,needs_web_verification,,,https://veats.jp/,〒150-0042 東京都渋谷区宇田川町３３−１ グランド東京渋谷ビル,019e8284-74e0-70ed-a033-6668f1643f26
