venueId,venueName,typeGuess,layoutStatus,capacityStatus,hasOfficialSite,siteUrl,address,sourceLiveUuids,sourceSetlistIds,neededFields
venue_big_cat,BIG CAT,live_house,needs_verification,needs_verification,yes,http://www.bigcat-live.com/,〒542-0086 大阪府大阪市中央区西心斎橋１丁目６−１４ BIGSTEP 4F,019e8284-6ef0-7b6b-9a0e-18c7b62839c8|019e8284-82bf-7279-90da-bbe763c75e71,live_item_019e8284-9998-73ba-9d7c-ecb64e09dc3a|live_item_019e8284-d8b1-724c-b430-ca48389886e9,layoutStatus|capacity|dimensions|floors|stage
venue_cube_garden,cube garden,live_house,needs_verification,needs_verification,yes,http://www.cube-garden.com/,〒060-0032 北海道札幌市中央区北２条東３丁目２−５ ｃｕｂｅ ｇａｒｄｅｎ,019e8284-7079-7afe-9ce9-a931cde94292,live_item_019e8284-a138-7d20-914e-b4ddee02d581,layoutStatus|capacity|dimensions|floors|stage
venue_drum_be_7,DRUM Be-7,live_house,needs_verification,needs_verification,yes,http://www.live-drum.com/,長崎県長崎市銅座町14-5,019e8284-9148-7f4e-b33a-0a731e8b057e,live_item_019e8284-ecc7-72d8-892d-6b5849778f8e,layoutStatus|capacity|dimensions|floors|stage
venue_drum_logos,DRUM LOGOS,live_house,needs_verification,needs_verification,yes,http://www.live-drum.com/,〒810-0073 福岡県福岡市中央区舞鶴１丁目８−２５,019e8284-7266-7fd4-94bb-b58bf6cef96b|019e8284-769c-725d-b466-ae659843b954,live_item_019e8284-a6c7-795c-8c06-e825d8986a10|live_item_019e8284-b08f-70ee-a81c-e8b48b81a298,layoutStatus|capacity|dimensions|floors|stage
venue_ex_theater_roppongi,EX THEATER ROPPONGI,live_house,needs_verification,needs_verification,yes,http://www.ex-theater.com/,〒106-0031 東京都港区西麻布１丁目２−９,019e8284-71f9-7490-a34f-5c74c54bd7a9,live_item_019e8284-a3e5-708f-a9b3-30be6dc3e62f,layoutStatus|capacity|dimensions|floors|stage
venue_heavens_rock_utsunomiya_vj_2,HEAVEN'S ROCK UTSUNOMIYA VJ-2,live_house,needs_verification,needs_verification,yes,https://www.heavensrock.com/utsunomiya/access/,栃木県宇都宮市宮園町5-33 東武宇都宮西口ビルB1F,019e8284-9148-7f4e-b33a-0a731e8b057e,live_item_019e8284-e742-712a-b02a-6f4969cdb7e6,layoutStatus|capacity|dimensions|floors|stage
venue_hondae_muvhall,HONDAE MUVHALL,hall,needs_verification,needs_verification,no,,,019e8284-7266-7fd4-94bb-b58bf6cef96b,live_item_019e8284-a800-7d6c-94ec-e88dd02b3f74,layoutStatus|capacity|dimensions|floors|stage|officialSite
venue_hongdae_v_hall,HONGDAE V-HALL,hall,needs_verification,needs_verification,yes,http://www.vhall.co.kr/main/,"２５ Hongik-ro, Mapo-gu, Seoul, 韓国",019e8284-7017-73c9-b0e6-5b6e10dc165d,live_item_019e8284-9f02-766e-bae7-3359761e8a68|live_item_019e8284-9f67-7bef-9f49-35cd1b52476b,layoutStatus|capacity|dimensions|floors|stage
venue_hynes_convention_center_in_boston,Hynes Convention Center in Boston,exhibition,needs_verification,needs_verification,yes,https://www.signatureboston.com/hynes,"900 Boylston St, Boston, MA 02115 アメリカ合衆国",019e8284-8df4-78ef-b518-cc18e3fd346f,live_item_019e8284-e297-7eeb-bcf2-529cdbb8896c,layoutStatus|capacity|dimensions|floors|stage
venue_istora_gelora_bung_karno_jakarta_indonesia,"Istora Gelora Bung Karno Jakarta, Indonesia.",arena,needs_verification,needs_verification,yes,http://gelorabungkarno.co.id/,"Jl. Pintu Satu Senayan No.1, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270 インドネシア",019e8284-7ee4-7dd4-9e91-d496d0794669,live_item_019e8284-c7fa-7f44-859b-c2c844e5fe35,layoutStatus|capacity|dimensions|floors|stage
venue_kintex_hall,KINTEX HALL,exhibition,needs_verification,needs_verification,yes,https://www.kintex.com/,"217−60  Kintex-ro, Ilsanseo-gu, Goyang-si, Gyeonggi-do, 韓国",019e8284-883e-7930-a992-5ce81682402c,live_item_019e8284-de55-75b3-97dc-27fec072c212,layoutStatus|capacity|dimensions|floors|stage
