会場ID,会場名,カテゴリ,施設名,Website URL,,Google Maps URL,Google Maps URL Status
tochigi_heavens_rock,HEAVEN'S ROCK UTSUNOMIYA VJ-2,parking,宇都宮パセオ駐車場,https://www.utsunomiya-sk.com/paseo/access/,-2 Connection Error,,
tochigi_heavens_rock,HEAVEN'S ROCK UTSUNOMIYA VJ-2,parking,JR宇都宮駅西口地下駐車場,https://www.n-parking.com/park/park007.php,,https://www.google.com/maps/search/JR宇都宮駅西口地下駐車場,200 OK
tochigi_heavens_rock,HEAVEN'S ROCK UTSUNOMIYA VJ-2,parking,トナリエ宇都宮駐車場,https://tonarie.jp/utsunomiya/access.php,-2 Connection Error,https://www.google.com/maps/search/ララスクエア宇都宮+駐車場,200 OK
tochigi_heavens_rock,HEAVEN'S ROCK UTSUNOMIYA VJ-2,parking,タイムズ宇都宮駅前,https://times-info.net/P09-tochigi/line/L4900/S1639/,200 OK,https://www.google.com/maps/search/タイムズ+宇都宮駅前,200 OK
tochigi_heavens_rock,HEAVEN'S ROCK UTSUNOMIYA VJ-2,parking,宇都宮市営中央駐車場,https://www.city.utsunomiya.lg.jp/kurashi/kotsu/chushajo/1006138.html,,https://www.google.com/maps/search/宇都宮市営中央駐車場,200 OK
tochigi_heavens_rock,HEAVEN'S ROCK UTSUNOMIYA VJ-2,coinLocker,JR宇都宮駅構内（改札内）,https://www.jreast.co.jp/estation/stations/248.html,403 Forbidden,,
tochigi_heavens_rock,HEAVEN'S ROCK UTSUNOMIYA VJ-2,coinLocker,JR宇都宮駅構内（改札外）,https://www.jreast.co.jp/estation/stations/248.html,403 Forbidden,https://www.google.com/maps/search/JR宇都宮駅+コインロッカー,200 OK
tochigi_heavens_rock,HEAVEN'S ROCK UTSUNOMIYA VJ-2,coinLocker,宇都宮パセオ館内,https://www.utsunomiya-sk.com/paseo/floor/,-2 Connection Error,,
tochigi_heavens_rock,HEAVEN'S ROCK UTSUNOMIYA VJ-2,coinLocker,トナリエ宇都宮,https://tonarie.jp/utsunomiya/,-2 Connection Error,https://www.google.com/maps/search/ララスクエア宇都宮,200 OK
tochigi_heavens_rock,HEAVEN'S ROCK UTSUNOMIYA VJ-2,coinLocker,東武宇都宮駅構内,https://www.tobu.co.jp/railway/guide/station/insidemap/4112/,,https://www.google.com/maps/search/東武宇都宮駅,200 OK
tochigi_heavens_rock,HEAVEN'S ROCK UTSUNOMIYA VJ-2,cafe,スターバックス パセオ宇都宮店,https://store.starbucks.co.jp/detail-522/,200 OK,https://www.google.com/maps/search/スターバックス+宇都宮パセオ,200 OK
tochigi_heavens_rock,HEAVEN'S ROCK UTSUNOMIYA VJ-2,cafe,ドトールコーヒー 宇都宮駅前店,閉店済みのため削除してください,200 OK,https://www.google.com/maps/search/ドトールコーヒー+宇都宮駅前,200 OK
tochigi_heavens_rock,HEAVEN'S ROCK UTSUNOMIYA VJ-2,cafe,カフェ・ド・クリエ 宇都宮駅店,閉店済みのため削除してください,404 Not Found,https://www.google.com/maps/search/カフェドクリエ+宇都宮駅,200 OK
tochigi_heavens_rock,HEAVEN'S ROCK UTSUNOMIYA VJ-2,cafe,コメダ珈琲店 宇都宮駅東店,https://www.komeda.co.jp/shop/detail.html?id=1053,200 OK,https://www.google.com/maps/search/コメダ珈琲店+宇都宮駅東,200 OK
